CALIFICACION;LUGAR;MES;ANIO;HORA;IMP_BOL;DESCUENTO;PUNTOS;DENUNCIANTE;HECHO;VEL_LIMITE;VEL_CIRCULA;DIRECCION_ORIGINAL;CLASE_VIAL;VIAL;NOMINAL;ORDINAL;CALIFICADOR;POBLACION;PROVINCIA;CODIGO_VIAL
LEVE      ;CL PALENCIA 5                           ;7;2018;09.50;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA ENCARNACION NUM 000001 ;PLAZA;ENCARNACION;NUM;1;  ;MADRID                                                                ;MADRID                   ;265300
LEVE      ;AV MONFORTE DE LEMOS 7                  ;7;2018;10.24;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;PLAZA ESPAÑA NUM 000005 ;PLAZA;ESPAÑA;NUM;5;  ;MADRID                                                                ;MADRID                   ;273600
LEVE      ;PZ CONDESA DE GAVIA 4                   ;7;2018;10.39;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA ESPAÑA NUM 000006 ;PLAZA;ESPAÑA;NUM;6;  ;MADRID                                                                ;MADRID                   ;273600
LEVE      ;CL PONFERRADA 28                        ;7;2018;17.32;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;PLAZA ESPAÑA NUM 000007 ;PLAZA;ESPAÑA;NUM;7;  ;MADRID                                                                ;MADRID                   ;273600
LEVE      ;CL MULLER 53                            ;7;2018;19.04;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;PLAZA ESPAÑA NUM 000008 ;PLAZA;ESPAÑA;NUM;8;  ;MADRID                                                                ;MADRID                   ;273600
LEVE      ;CL MANCHEGOS 9                          ;7;2018;17.52;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE FACTOR NUM 000004 ;CALLE;FACTOR;NUM;4;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;AV ALEJANDRO SOTA C DEPORTIVA           ;7;2018;17.07;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE FACTOR NUM 000006 ;CALLE;FACTOR;NUM;6;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL PALENCIA 32                          ;7;2018;19.18;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE FACTOR NUM 000008 ;CALLE;FACTOR;NUM;8;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL JAEN 1                               ;7;2018;19.42;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE FACTOR NUM 000010 ;CALLE;FACTOR;NUM;10;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL VALLEHERMOSO 87                      ;7;2018;19.04;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE FACTOR NUM 000012 ;CALLE;FACTOR;NUM;12;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL BRAVO MURILLO 53                     ;7;2018;19.47;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE FACTOR NUM 000016 ;CALLE;FACTOR;NUM;16;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;PZ CONDESA DE GAVIA 4                   ;7;2018;13.46;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE FACTOR NUM 000003 ;CALLE;FACTOR;NUM;3;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL PONFERRADA 47                        ;7;2018;10.09;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE FACTOR NUM 000005 ;CALLE;FACTOR;NUM;5;  ;MADRID                                                                ;MADRID                   ;286000
LEVE      ;CL ACONITO 8                            ;7;2018;10.40;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE JUAN DE HERRERA NUM 000002 ;CALLE;JUAN DE HERRERA;NUM;2;  ;MADRID                                                                ;MADRID                   ;412900
GRAVE     ;TR PANDO 8                              ;7;2018;18.57; 200.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN ESPACIOS EXPRESAMENTE RESERVADOS A SERVICIOS DE URGENCIA Y SEGURIDAD.                                          ;80;130;CALLE JUAN DE HERRERA NUM 000004 ;CALLE;JUAN DE HERRERA;NUM;4;  ;MADRID                                                                ;MADRID                   ;412900
LEVE      ;CL ORDEN 20                             ;7;2018;20.03;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE JUAN DE HERRERA NUM 000006 ;CALLE;JUAN DE HERRERA;NUM;6;  ;MADRID                                                                ;MADRID                   ;412900
LEVE      ;CL CEA BERMUDEZ 16                      ;7;2018;20.17;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE JUAN DE HERRERA NUM 000001 ;CALLE;JUAN DE HERRERA;NUM;1;  ;MADRID                                                                ;MADRID                   ;412900
LEVE      ;AV ALEJANDRO SOTA C DEPORTIVA           ;7;2018;12.29;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE JUAN DE HERRERA NUM 000003 ;CALLE;JUAN DE HERRERA;NUM;3;  ;MADRID                                                                ;MADRID                   ;412900
LEVE      ;CL SINESIO DELGADO 3                    ;7;2018;10.55;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE JUAN DE HERRERA NUM 000005 ;CALLE;JUAN DE HERRERA;NUM;5;  ;MADRID                                                                ;MADRID                   ;412900
LEVE      ;PO CASTELLANA 247                       ;7;2018;20.30;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE LEGANITOS NUM 000043 ;CALLE;LEGANITOS;NUM;43;  ;MADRID                                                                ;MADRID                   ;433800
LEVE      ;CL CEA BERMUDEZ 16                      ;7;2018;14.47;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE LEGANITOS NUM 000045 ;CALLE;LEGANITOS;NUM;45;  ;MADRID                                                                ;MADRID                   ;433800
LEVE      ;CL LOMA 4                               ;7;2018;12.45;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE LEGANITOS NUM 000047 ;CALLE;LEGANITOS;NUM;47;  ;MADRID                                                                ;MADRID                   ;433800
LEVE      ;CL GRANJA 5                             ;7;2018;12.53;  90.00;SI;0;SER                 ;ESTACIONAR SOBRE LA ACERA.                                                                                                   ;80;130;PLAZA MARINA ESPAÑOLA NUM 000004 ;PLAZA;MARINA ESPAÑOLA;NUM;4;  ;MADRID                                                                ;MADRID                   ;482500
LEVE      ;AV MONFORTE DE LEMOS 32                 ;7;2018;20.42;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA MARINA ESPAÑOLA NUM 000005 ;PLAZA;MARINA ESPAÑOLA;NUM;5;  ;MADRID                                                                ;MADRID                   ;482500
LEVE      ;AV MONFORTE DE LEMOS 111                ;7;2018;12.34;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;PLAZA MARINA ESPAÑOLA NUM 000006 ;PLAZA;MARINA ESPAÑOLA;NUM;6;  ;MADRID                                                                ;MADRID                   ;482500
GRAVE     ;PZ ARTEIJO 6                            ;7;2018;19.22; 200.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN ESPACIOS EXPRESAMENTE RESERVADOS A SERVICIOS DE URGENCIA Y SEGURIDAD.                                          ;80;130;PLAZA MARINA ESPAÑOLA NUM 000007 ;PLAZA;MARINA ESPAÑOLA;NUM;7;  ;MADRID                                                                ;MADRID                   ;482500
LEVE      ;CL FRANCOS RODRIGUEZ 68                 ;7;2018;13.19;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;PLAZA MARINA ESPAÑOLA NUM 000008 ;PLAZA;MARINA ESPAÑOLA;NUM;8;  ;MADRID                                                                ;MADRID                   ;482500
LEVE      ;CL AGUSTIN DE BETANCOURT 6              ;7;2018;13.28;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE MAYOR NUM 000081 ;CALLE;MAYOR;NUM;81;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;M 30 LATERAL AV CDAD BARCELONA          ;7;2018;12.37;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE MAYOR NUM 000083 ;CALLE;MAYOR;NUM;83;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;AV HISPANIDAD S/N                       ;7;2018;19.07;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE MAYOR NUM 000085 ;CALLE;MAYOR;NUM;85;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;CL PONFERRADA 32                        ;7;2018;19.41;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE MAYOR NUM 000074 ;CALLE;MAYOR;NUM;74;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;CL CEA BERMUDEZ 4                       ;7;2018;10.32;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE MAYOR NUM 000076 ;CALLE;MAYOR;NUM;76;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;AV PABLO IGLESIAS 7                     ;7;2018;10.56;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE MAYOR NUM 000078 ;CALLE;MAYOR;NUM;78;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;PO CASTELLANA 255                       ;7;2018;12.51;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE MAYOR NUM 000080 ;CALLE;MAYOR;NUM;80;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;PO CASTELLANA 225                       ;7;2018;14.41;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE MAYOR NUM 000082 ;CALLE;MAYOR;NUM;82;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;CL CEA BERMUDEZ 30                      ;7;2018;14.48;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE MAYOR NUM 000084 ;CALLE;MAYOR;NUM;84;  ;MADRID                                                                ;MADRID                   ;497800
MUY GRAVE ;CL CEA BERMUDEZ 4                       ;7;2018;05.30; 500.00;SI;4;POLICIA MUNICIPAL   ;CONDUCIR CON UNA TASA DE ALCOHOLEMIA NO PERMITIDA DE HASTA 0.50 MG/L EN AIRE ESPIRADO (0.30 MG/L NOVELES/PROFESIONALES)      ;80;130;CALLE MAYOR NUM 000086 ;CALLE;MAYOR;NUM;86;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;CL PONFERRADA 14                        ;7;2018;08.35;  90.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE MAYOR NUM 000088 ;CALLE;MAYOR;NUM;88;  ;MADRID                                                                ;MADRID                   ;497800
LEVE      ;CL CEA BERMUDEZ 2                       ;7;2018;11.16;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE NOBLEJAS NUM 000003 ;CALLE;NOBLEJAS;NUM;3;  ;MADRID                                                                ;MADRID                   ;535100
LEVE      ;CM GANAPANES F51                        ;7;2018;12.42;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE NOBLEJAS NUM 000007 ;CALLE;NOBLEJAS;NUM;7;  ;MADRID                                                                ;MADRID                   ;535100
LEVE      ;AVES SN                                 ;7;2018;13.17;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE REQUENA NUM 000003 ;CALLE;REQUENA;NUM;3;  ;MADRID                                                                ;MADRID                   ;637400
LEVE      ;CL VALENCIA DE DON JUAN 1               ;7;2018;13.35;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE REQUENA NUM 000005 ;CALLE;REQUENA;NUM;5;  ;MADRID                                                                ;MADRID                   ;637400
LEVE      ;CL ALFREDO MARQUERIE 6                  ;7;2018;13.45;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE RIO NUM 000004 ;CALLE;RIO;NUM;4;  ;MADRID                                                                ;MADRID                   ;641400
LEVE      ;CL SANTIAGO DE COMPOSTELA 34            ;7;2018;13.44;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE RIO NUM 000006 ;CALLE;RIO;NUM;6;  ;MADRID                                                                ;MADRID                   ;641400
LEVE      ;CL SANTIAGO DE COMPOSTELA 50            ;7;2018;13.57;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE RIO NUM 000018 ;CALLE;RIO;NUM;18;  ;MADRID                                                                ;MADRID                   ;641400
LEVE      ;PO CASTELLANA 235                       ;7;2018;12.35;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE RIO NUM 000020 ;CALLE;RIO;NUM;20;  ;MADRID                                                                ;MADRID                   ;641400
LEVE      ;CL MONTOYA 2                            ;7;2018;13.59;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE RIO NUM 000022 ;CALLE;RIO;NUM;22;  ;MADRID                                                                ;MADRID                   ;641400
LEVE      ;AV ALEJANDRO SOTA C DEPORTIVA           ;7;2018;14.23;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN NICOLAS NUM 000006 ;CALLE;SAN NICOLAS;NUM;6;  ;MADRID                                                                ;MADRID                   ;680700
LEVE      ;CL YEROS 31                             ;7;2018;10.15;  90.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE SAN NICOLAS NUM 000003 ;CALLE;SAN NICOLAS;NUM;3;  ;MADRID                                                                ;MADRID                   ;680700
LEVE      ;AV ASTURIAS 45                          ;7;2018;16.28;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN NICOLAS NUM 000005 ;CALLE;SAN NICOLAS;NUM;5;  ;MADRID                                                                ;MADRID                   ;680700
LEVE      ;AV ASTURIAS 57                          ;7;2018;17.06;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN NICOLAS NUM 000009 ;CALLE;SAN NICOLAS;NUM;9;  ;MADRID                                                                ;MADRID                   ;680700
LEVE      ;CL BARACALDO 30                         ;7;2018;18.19;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE SAN NICOLAS NUM 000015 ;CALLE;SAN NICOLAS;NUM;15;  ;MADRID                                                                ;MADRID                   ;680700
LEVE      ;AV FILIPINAS 5                          ;7;2018;18.27;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA SAN NICOLAS NUM 000001 ;PLAZA;SAN NICOLAS;NUM;1;  ;MADRID                                                                ;MADRID                   ;680800
LEVE      ;AV DR. FED. RUBIO Y GALI 77             ;7;2018;13.48;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA SAN NICOLAS NUM 000002 ;PLAZA;SAN NICOLAS;NUM;2;  ;MADRID                                                                ;MADRID                   ;680800
LEVE      ;PO VAGUADA 1                            ;7;2018;10.48;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;PLAZA SAN NICOLAS NUM 000003 ;PLAZA;SAN NICOLAS;NUM;3;  ;MADRID                                                                ;MADRID                   ;680800
GRAVE     ;AV BETANZOS 2                           ;7;2018;18.48; 200.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN ESPACIOS EXPRESAMENTE RESERVADOS A SERVICIOS DE URGENCIA Y SEGURIDAD.                                          ;80;130;PLAZA SAN NICOLAS NUM 000004 ;PLAZA;SAN NICOLAS;NUM;4;  ;MADRID                                                                ;MADRID                   ;680800
LEVE      ;AV CIUDAD DE BARCELONA                  ;7;2018;11.16;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN QUINTIN NUM 000004 ;CALLE;SAN QUINTIN;NUM;4;  ;MADRID                                                                ;MADRID                   ;683200
LEVE      ;AV DR. FED. RUBIO Y GALI 82             ;7;2018;12.13;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN QUINTIN NUM 000006 ;CALLE;SAN QUINTIN;NUM;6;  ;MADRID                                                                ;MADRID                   ;683200
LEVE      ;CL CHANTADA 9                           ;7;2018;13.55;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE SAN QUINTIN NUM 000008 ;CALLE;SAN QUINTIN;NUM;8;  ;MADRID                                                                ;MADRID                   ;683200
LEVE      ;CL RIBADAVIA 5                          ;7;2018;14.17;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE SAN QUINTIN NUM 000010 ;CALLE;SAN QUINTIN;NUM;10;  ;MADRID                                                                ;MADRID                   ;683200
